,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000.0
1,,m_discretization,,,,8.0
2,,N_run,,,,20.0
3,,n_picard,,,,3.0
4,,Number of trees,,,,100.0
5,,Learning rate,,,,0.1
6,,max_depth,,,,1.0
0,,,run 1,,44.523,3.368666887551459
1,,,run 2,,43.749,3.3735354580535177
2,,,run 3,,44.221,3.3440358767602985
3,,,run 4,,44.479,3.3615347762569665
4,,,run 5,,43.92,3.384605314330788
5,,,run 6,,44.511,3.371361011279391
6,,,run 7,,44.481,3.3295113716103595
7,,,run 8,,43.716,3.386770980919367
8,,,run 9,,44.484,3.3794591510360226
9,,,run 10,,43.959,3.2936443987917063
10,,,run 11,,43.496,3.378580234291414
11,,,run 12,,42.75,3.2596614516958446
12,,,run 13,,42.709,3.373601800256435
13,,,run 14,,43.206,3.2336327528945663
14,,,run 15,,42.977,3.321593441774847
15,,,run 16,,43.028,3.311304197707977
16,,,run 17,,42.875,3.3696610434994247
17,,,run 18,,43.07,3.2999417155685733
18,,,run 19,,42.885,3.3509628783878025
19,,,run 20,,42.887,3.3259424648640765
0,,,,mean,,3.3409
1,,,,std,,0.0434
2,,,,95% confidence interval,,"[3.3366, 3.3452]"
3,,,,min,,3.2336
4,,,,max,,3.3868
