,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,100000
1,,m_discretization,,,,12
2,,N_run,,,,20
3,,n_picard,,,,20
4,,polynomial degree,,,,8
0,,,run 1,,18.079,7.151199992593997
1,,,run 2,,14.922,7.188828857501222
2,,,run 3,,14.487,7.142290549795476
3,,,run 4,,14.35,7.120731997644238
4,,,run 5,,13.214,7.209340663927478
5,,,run 6,,12.927,7.224226432927438
6,,,run 7,,13.418,7.188252171465339
7,,,run 8,,12.88,7.179185018468533
8,,,run 9,,17.001,7.158042146583618
9,,,run 10,,21.086,7.200084326315738
10,,,run 11,,12.95,7.130206054661128
11,,,run 12,,12.923,7.104888014980865
12,,,run 13,,13.128,7.090721092033565
13,,,run 14,,21.236,7.132794679452121
14,,,run 15,,18.226,7.178722140712304
15,,,run 16,,13.165,7.137118108643595
16,,,run 17,,13.108,7.106844865334408
17,,,run 18,,24.199,7.133945895924115
18,,,run 19,,14.514,7.13937385569633
19,,,run 20,,21.677,7.188944850313048
0,,,,mean,,7.1553
1,,,,std,,0.0375
2,,,,95% confidence interval,,"[7.1516, 7.159]"
3,,,,min,,7.0907
4,,,,max,,7.2242
