,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000
1,,m_discretization,,,,12
2,,N_run,,,,20
3,,n_picard,,,,10
4,,Number of trees,,,,200
5,,Max Leaf nodes,,,,100
0,,,run 1,,2.193,7.068390990373311
1,,,run 2,,3.838,7.3262561961383295
2,,,run 3,,1.941,7.123669544837489
3,,,run 4,,2.21,7.360103315771695
4,,,run 5,,2.75,7.197715184606376
5,,,run 6,,2.072,7.1636940320275695
6,,,run 7,,2.15,7.299544834520346
7,,,run 8,,2.97,7.168084149097538
8,,,run 9,,3.198,7.130204325112838
9,,,run 10,,4.521,7.177723121313481
10,,,run 11,,3.117,7.278221074734944
11,,,run 12,,3.162,7.212798348258327
12,,,run 13,,2.956,7.359208999303014
13,,,run 14,,3.001,7.298385915730208
14,,,run 15,,2.554,7.207870771391861
15,,,run 16,,2.792,7.335934413907021
16,,,run 17,,3.244,7.221141541920144
17,,,run 18,,2.961,7.110600780686729
18,,,run 19,,2.516,7.430813505976509
19,,,run 20,,3.037,7.192631297636833
0,,,,mean,,7.2331
1,,,,std,,0.0979
2,,,,95% confidence interval,,"[7.2235, 7.2427]"
3,,,,min,,7.0684
4,,,,max,,7.4308
