,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,3000
1,,m_discretization,,,,8
2,,N_run,,,,20
3,,n_picard,,,,3
0,,,run 1,,124.347,3.487208927281437
1,,,run 2,,144.917,3.3371043253462678
2,,,run 3,,131.808,3.356781075891654
3,,,run 4,,125.538,3.3674714213109724
4,,,run 5,,127.692,3.299175927917823
5,,,run 6,,119.647,3.320728400014531
6,,,run 7,,121.353,3.233994811061451
7,,,run 8,,124.467,3.427377215555071
8,,,run 9,,121.442,3.2631113185044898
9,,,run 10,,140.078,3.1292531398028935
10,,,run 11,,135.658,3.3602387627363908
11,,,run 12,,138.154,3.3975902003846876
12,,,run 13,,132.257,3.4007034690110576
13,,,run 14,,129.239,3.2520004592821774
14,,,run 15,,129.151,3.2572488882700075
15,,,run 16,,134.584,3.345211364677522
16,,,run 17,,132.932,3.2052191964234558
17,,,run 18,,139.604,3.294525470041823
18,,,run 19,,140.156,3.3574595231794
19,,,run 20,,129.792,3.2788848596252835
0,,,,mean,,3.3186
1,,,,std,,0.0831
2,,,,95% confidence interval,,"[3.3105, 3.3267]"
3,,,,min,,3.1293
4,,,,max,,3.4872
