,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.05
2,R ,,,,,0.06
3,r ,,,,,0.01
4,sigma,,,,,0.2
5,T,,,,,0.25
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000.0
1,,m_discretization,,,,8.0
2,,N_run,,,,20.0
3,,n_picard,,,,3.0
4,,Number of trees,,,,100.0
5,,learning_rate,,,,0.1
0,,,run 1,,786.152,5.7189111964226935
1,,,run 2,,1135.599,5.68455929068916
2,,,run 3,,1170.966,5.7189003129296765
3,,,run 4,,1155.585,5.703693517660142
4,,,run 5,,1122.358,5.669999251028855
5,,,run 6,,1107.291,5.679441274936285
6,,,run 7,,1159.692,5.698515811777639
7,,,run 8,,1158.734,5.715555668172746
8,,,run 9,,1160.762,5.725288739267943
9,,,run 10,,707.285,5.716136412233953
10,,,run 11,,486.272,5.7088063621952925
11,,,run 12,,482.029,5.702735477703769
12,,,run 13,,475.795,5.738764220634149
13,,,run 14,,444.301,5.72464115745835
14,,,run 15,,451.746,5.696848467631065
15,,,run 16,,419.06,5.7373479962706115
16,,,run 17,,378.534,5.687757482654175
17,,,run 18,,404.14,5.709167107664098
18,,,run 19,,389.378,5.700964556594143
19,,,run 20,,381.623,5.689110361205358
0,,,,mean,,5.7064
1,,,,std,,0.0186
2,,,,95% confidence interval,,"[5.7046, 5.7082]"
3,,,,min,,5.67
4,,,,max,,5.7388
