,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.05
2,R ,,,,,0.06
3,r ,,,,,0.01
4,sigma,,,,,0.2
5,T,,,,,0.25
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,4000
1,,m_discretization,,,,8
2,,N_run,,,,20
3,,n_picard,,,,10
0,,,run 1,,34.247,2.82839310361301
1,,,run 2,,33.339,2.774690426671873
2,,,run 3,,32.373,2.804550334579353
3,,,run 4,,36.158,2.9215796039174458
4,,,run 5,,34.977,2.9145436252548422
5,,,run 6,,36.469,2.924924406383466
6,,,run 7,,35.364,2.7996540669692562
7,,,run 8,,35.701,2.8437853207486574
8,,,run 9,,37.318,2.9037818633784727
9,,,run 10,,36.223,2.8952436634262506
10,,,run 11,,35.39,2.8545912680057977
11,,,run 12,,35.093,2.770333789145517
12,,,run 13,,36.104,2.8354571057228557
13,,,run 14,,34.75,2.8556507270772986
14,,,run 15,,34.325,2.9001572268116043
15,,,run 16,,35.7,2.6986387496226496
16,,,run 17,,37.54,2.7453583003459294
17,,,run 18,,35.562,2.8288420955982763
18,,,run 19,,33.314,2.9681662592995752
19,,,run 20,,34.517,2.751836815306031
0,,,,mean,,2.841
1,,,,std,,0.0711
2,,,,95% confidence interval,,"[2.834, 2.848]"
3,,,,min,,2.6986
4,,,,max,,2.9682
