,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000
1,,m_discretization,,,,6
2,,dimension,,,,25
3,,N_run,,,,20
4,,n_picard,,,,3
5,,Number of trees,,,,200
6,,Max Leaf nodes,,,,1000
7,,Min_samples_leaf,,,,40
0,,,run 1,,420.589,2.3713874460790554
1,,,run 2,,449.608,2.3779595845005774
2,,,run 3,,454.005,2.367664969799207
3,,,run 4,,433.919,2.3626019742657
4,,,run 5,,422.0,2.432668058367473
5,,,run 6,,421.38,2.4050855976231955
6,,,run 7,,431.092,2.3973589673363414
7,,,run 8,,438.398,2.404842549590463
8,,,run 9,,444.671,2.392148405984241
9,,,run 10,,442.587,2.387158333405426
10,,,run 11,,434.733,2.364352028830073
11,,,run 12,,434.58,2.392445188750951
12,,,run 13,,427.753,2.3728191923025066
13,,,run 14,,435.244,2.4033068125193564
14,,,run 15,,427.337,2.3709714517311715
15,,,run 16,,435.31,2.3941133783590547
16,,,run 17,,434.264,2.41610030483849
17,,,run 18,,421.68,2.387486984750906
18,,,run 19,,432.765,2.3756599535644956
19,,,run 20,,434.17,2.381168099334898
0,,,,mean,,2.3879
1,,,,std,,0.0185
2,,,,95% confidence interval,,"[2.3861, 2.3897]"
3,,,,min,,2.3626
4,,,,max,,2.4327
