,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.05
2,R ,,,,,0.06
3,r ,,,,,0.01
4,sigma,,,,,0.2
5,T,,,,,0.25
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,4000.0
1,,m_discretization,,,,8.0
2,,N_run,,,,20.0
3,,n_picard,,,,3.0
4,,nearest neighbors,,,,400.0
5,,l,,,,1.0
0,,,run 1,,6298.641,5.7041
1,,,run 2,,5197.353,5.7206
2,,,run 3,,2681.854,5.708
3,,,run 4,,2446.601,5.6514
4,,,run 5,,2584.575,5.6865
5,,,run 6,,2677.473,5.725
6,,,run 7,,2561.542,5.6954
7,,,run 8,,2681.078,5.7053
8,,,run 9,,2680.866,5.6528
9,,,run 10,,2734.119,5.7012
10,,,run 11,,2583.271,5.7342
11,,,run 12,,2137.686,5.7286
12,,,run 13,,2691.7,5.7109
13,,,run 14,,2794.441,5.6859
14,,,run 15,,2671.449,5.6919
15,,,run 16,,2796.585,5.646
16,,,run 17,,2731.549,5.6904
17,,,run 18,,2745.283,5.6357
18,,,run 19,,2574.737,5.7149
19,,,run 20,,2174.985,5.6924
0,,,,mean,,5.6941
1,,,,std,,0.0281
2,,,,95% confidence interval,,"[5.6913, 5.6969]"
3,,,,min,,5.6357
4,,,,max,,5.7342
