,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.05
2,R ,,,,,0.06
3,r ,,,,,0.01
4,sigma,,,,,0.2
5,T,,,,,0.25
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,3000
1,,m_discretization,,,,8
2,,N_run,,,,20
3,,n_picard,,,,3
4,,dimension,,,,20
0,,,run 1,,376.604,5.6808131872335785
1,,,run 2,,357.971,5.724421337332369
2,,,run 3,,348.865,5.675224534158806
3,,,run 4,,357.725,5.61160079303463
4,,,run 5,,340.049,5.678130624260261
5,,,run 6,,332.81,5.704623514287373
6,,,run 7,,341.798,5.666456111825017
7,,,run 8,,358.715,5.639907802872734
8,,,run 9,,345.21,5.6882245045023225
9,,,run 10,,339.155,5.729077410512179
10,,,run 11,,348.573,5.792930606234763
11,,,run 12,,349.666,5.663954928135645
12,,,run 13,,359.972,5.673155311805589
13,,,run 14,,340.151,5.718844671361232
14,,,run 15,,348.913,5.6220676540580214
15,,,run 16,,353.881,5.765025354847093
16,,,run 17,,336.355,5.6589309518486575
17,,,run 18,,338.839,5.678088717499165
18,,,run 19,,337.573,5.694863891592806
19,,,run 20,,340.104,5.703647480676896
0,,,,mean,,5.6885
1,,,,std,,0.0438
2,,,,95% confidence interval,,"[5.6842, 5.6928]"
3,,,,min,,5.6116
4,,,,max,,5.7929
