,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.1
1,mu,,,,,0.05
2,R ,,,,,0.05
3,r ,,,,,0.05
4,sigma,,,,,0.2
5,T,,,,,3.0
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000.0
1,,m_discretization,,,,8.0
2,,N_run,,,,20.0
3,,n_picard,,,,3.0
4,,Number of trees,,,,100.0
5,,Learning rate,,,,0.1
6,,max_depth,,,,1.0
0,,,run 1,,4.311,22.682817646629548
1,,,run 2,,4.363,23.312170060855536
2,,,run 3,,4.397,23.261900460729134
3,,,run 4,,4.147,22.79513528187493
4,,,run 5,,4.259,23.156222160168273
5,,,run 6,,4.494,22.99917740302822
6,,,run 7,,4.296,23.19319498963043
7,,,run 8,,4.313,23.00947750652799
8,,,run 9,,4.319,22.90270833525516
9,,,run 10,,4.492,23.147997789680755
10,,,run 11,,4.545,22.934741278256414
11,,,run 12,,4.291,23.170399575530656
12,,,run 13,,4.364,23.444967436686245
13,,,run 14,,4.321,23.140331144091427
14,,,run 15,,4.771,23.39777921404829
15,,,run 16,,4.218,23.187849791338735
16,,,run 17,,4.271,22.817866879693838
17,,,run 18,,4.356,22.847140382970363
18,,,run 19,,4.2,22.876797807872222
19,,,run 20,,4.651,23.046509061808614
0,,,,mean,,23.0663
1,,,,std,,0.2093
2,,,,95% confidence interval,,"[23.0458, 23.0868]"
3,,,,min,,22.6828
4,,,,max,,23.445
