,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.1
1,mu,,,,,0.05
2,R ,,,,,0.05
3,r ,,,,,0.05
4,sigma,,,,,0.2
5,T,,,,,3.0
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,3000
1,,m_discretization,,,,8
2,,N_run,,,,20
3,,n_picard,,,,3
0,,,run 1,,29.538,22.730852007097926
1,,,run 2,,27.92,23.08571530586575
2,,,run 3,,27.429,22.828344439189195
3,,,run 4,,28.533,23.107308279505094
4,,,run 5,,26.84,22.51012379273576
5,,,run 6,,28.052,22.763332818779123
6,,,run 7,,28.541,23.058044049855596
7,,,run 8,,27.774,22.94036207103787
8,,,run 9,,27.568,22.0012467552428
9,,,run 10,,28.503,22.587689971991548
10,,,run 11,,27.442,22.39913127230663
11,,,run 12,,26.953,23.448532218992103
12,,,run 13,,29.176,23.594562414606724
13,,,run 14,,28.448,23.409624919350456
14,,,run 15,,28.035,23.085494512699597
15,,,run 16,,30.009,22.910052551521336
16,,,run 17,,28.752,23.532451231385537
17,,,run 18,,27.504,22.369816417115437
18,,,run 19,,27.965,23.653633254318873
19,,,run 20,,28.488,22.95451133569617
0,,,,mean,,22.9485
1,,,,std,,0.4441
2,,,,95% confidence interval,,"[22.905, 22.992]"
3,,,,min,,22.0012
4,,,,max,,23.6536
