,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.1
1,mu,,,,,0.05
2,R ,,,,,0.05
3,r ,,,,,0.05
4,sigma,,,,,0.2
5,T,,,,,3.0
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000
1,,m_discretization,,,,6
2,,N_run,,,,20
3,,n_picard,,,,3
4,,Number of trees,,,,200
5,,Max Leaf nodes,,,,700
0,,,run 1,,8.215,22.762667941387
1,,,run 2,,7.529,23.36741804862051
2,,,run 3,,7.859,22.797670660352313
3,,,run 4,,8.85,22.627627639308653
4,,,run 5,,8.228,23.26474571505194
5,,,run 6,,7.781,23.14652636498611
6,,,run 7,,8.691,22.62538261664304
7,,,run 8,,8.248,23.34978316635372
8,,,run 9,,8.369,23.53641778616057
9,,,run 10,,8.714,23.4129743511624
10,,,run 11,,7.74,23.075316204833367
11,,,run 12,,8.474,22.98078439478229
12,,,run 13,,8.284,23.108416622393545
13,,,run 14,,7.682,23.00747435443013
14,,,run 15,,7.987,22.787842261139787
15,,,run 16,,8.382,22.66927928503442
16,,,run 17,,7.867,23.123505087447484
17,,,run 18,,8.104,23.070586955652598
18,,,run 19,,8.405,23.040984866841228
19,,,run 20,,7.87,22.573721661962708
0,,,,mean,,23.0165
1,,,,std,,0.286
2,,,,95% confidence interval,,"[22.9885, 23.0445]"
3,,,,min,,22.5737
4,,,,max,,23.5364
