,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000.0
1,,m_discretization,,,,12.0
2,,N_run,,,,20.0
3,,n_picard,,,,3.0
4,,Number of trees,,,,100.0
5,,Learning rate,,,,0.1
6,,max_depth,,,,1.0
0,,,run 1,,100.159,3.5941705361687597
1,,,run 2,,102.265,3.5690659886549083
2,,,run 3,,102.372,3.6112258112723947
3,,,run 4,,101.467,3.655357655142466
4,,,run 5,,103.006,3.618315352865647
5,,,run 6,,102.138,3.563073585282285
6,,,run 7,,102.482,3.587024301353923
7,,,run 8,,101.95,3.6258857184607542
8,,,run 9,,103.39,3.5702625419748197
9,,,run 10,,100.852,3.643958324328823
10,,,run 11,,102.592,3.6732287373197265
11,,,run 12,,101.553,3.644710686516094
12,,,run 13,,100.719,3.5788741292702437
13,,,run 14,,102.15,3.606613801504025
14,,,run 15,,105.044,3.6474963778809197
15,,,run 16,,105.781,3.5767572620731585
16,,,run 17,,128.5,3.6842569910372602
17,,,run 18,,128.15,3.535332521846065
18,,,run 19,,129.304,3.6470969626050933
19,,,run 20,,132.463,3.618529910717626
0,,,,mean,,3.6126
1,,,,std,,0.0403
2,,,,95% confidence interval,,"[3.6087, 3.6165]"
3,,,,min,,3.5353
4,,,,max,,3.6843
