,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.1
2,R ,,,,,0.05
3,r ,,,,,0.05
4,sigma,,,,,[ 0.25  0.3 ]
5,T,,,,,0.1
6,K,,,,,100.0
7,S0,,,,,100.0
8,corr,,,,,0.3
0,,N_particles,,,,10000
1,,m_discretization,,,,6
2,,N_run,,,,20
3,,n_picard,,,,3
4,,Number of trees,,,,200
5,,Max Leaf nodes,,,,2000
0,,,run 1,,51.002,4.199705610043793
1,,,run 2,,50.168,4.205636011517488
2,,,run 3,,50.64,4.121830760437418
3,,,run 4,,49.85,4.03505066521437
4,,,run 5,,50.464,4.157829367301679
5,,,run 6,,49.135,4.082717656414152
6,,,run 7,,48.942,4.221847312863967
7,,,run 8,,50.298,4.075619021713925
8,,,run 9,,49.167,4.185685525489776
9,,,run 10,,50.424,4.246485171056743
10,,,run 11,,49.774,4.1157868610345485
11,,,run 12,,48.805,4.147187968999778
12,,,run 13,,50.28,4.237281770165575
13,,,run 14,,50.273,4.163038409383899
14,,,run 15,,51.727,4.249216448144236
15,,,run 16,,50.885,4.131323619758289
16,,,run 17,,51.169,4.106298062665335
17,,,run 18,,50.222,4.147935095218533
18,,,run 19,,50.644,4.113054479042315
19,,,run 20,,50.909,4.2797566372543345
0,,,,mean,,4.1612
1,,,,std,,0.0658
2,,,,95% confidence interval,,"[4.1548, 4.1676]"
3,,,,min,,4.0351
4,,,,max,,4.2798
