,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.05
2,R ,,,,,0.06
3,r ,,,,,0.01
4,sigma,,,,,0.2
5,T,,,,,0.25
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000
1,,m_discretization,,,,6
2,,N_run,,,,20
3,,n_picard,,,,3
4,,Number of trees,,,,200
5,,Max Leaf nodes,,,,1000
0,,,run 1,,490.119,5.657442993073989
1,,,run 2,,494.729,5.684513690051327
2,,,run 3,,507.364,5.693438664691058
3,,,run 4,,505.27,5.691060234918228
4,,,run 5,,505.412,5.703373555004295
5,,,run 6,,516.351,5.6941156760697424
6,,,run 7,,501.068,5.67766924807767
7,,,run 8,,494.92,5.68230871908785
8,,,run 9,,517.76,5.714058020765379
9,,,run 10,,497.002,5.735874847483276
10,,,run 11,,507.813,5.708231945609064
11,,,run 12,,500.203,5.726983859087283
12,,,run 13,,512.905,5.687038302968006
13,,,run 14,,504.524,5.695864739820925
14,,,run 15,,501.509,5.693353291156423
15,,,run 16,,499.593,5.717638966077715
16,,,run 17,,497.879,5.721748371432037
17,,,run 18,,515.934,5.714321179886745
18,,,run 19,,503.344,5.709620866399595
19,,,run 20,,516.466,5.689776375675834
0,,,,mean,,5.6999
1,,,,std,,0.0188
2,,,,95% confidence interval,,"[5.6981, 5.7017]"
3,,,,min,,5.6574
4,,,,max,,5.7359
