Mesh Fast = 5.518860958791046
Mesh  = 5.712175329700023
time for mesh all computation = 13.449956893920898
BS-comparison = 5.942417772333471
         74053 function calls (74048 primitive calls) in 425.695 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6126    0.034    0.000    0.034    0.000 {built-in method builtins.max}
     5577    2.459    0.000    2.459    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5003    0.012    0.000    0.730    0.000 _methods.py:34(_prod)
     5003    0.031    0.000    0.761    0.000 fromnumeric.py:2390(prod)
     4441    1.287    0.000    1.287    0.000 {built-in method numpy.core.multiarray.dot}
     4000    0.161    0.000    0.161    0.000 {method 'standard_normal' of 'mtrand.RandomState' objects}
     3501    0.004    0.000    0.008    0.000 {built-in method builtins.issubclass}
     2702    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     2648    0.371    0.000    0.371    0.000 {built-in method numpy.core.multiarray.array}
     2011    0.021    0.000    0.021    0.000 {built-in method numpy.core.multiarray.zeros}
     2000    0.004    0.000    0.006    0.000 linalg.py:111(isComplexType)
     1789    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     1778    0.004    0.000    0.011    0.000 {built-in method builtins.isinstance}
     1633    0.010    0.000    0.016    0.000 numeric.py:406(asarray)
     1495    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     1089    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     1000    0.017    0.000    0.028    0.000 linalg.py:139(_commonType)
     1000    0.001    0.000    0.001    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
     1000    0.004    0.000    0.006    0.000 linalg.py:124(_realType)
     1000    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     1000    0.008    0.000    0.009    0.000 linalg.py:198(_assertRankAtLeast2)
     1000    0.010    0.000    0.021    0.000 linalg.py:106(_makearray)
     1000    0.151    0.000    0.261    0.000 linalg.py:532(cholesky)
     1000    0.012    0.000    0.012    0.000 linalg.py:101(get_linalg_error_extobj)
     1000    0.012    0.000    0.018    0.000 linalg.py:209(_assertNdSquareness)
     1000    0.694    0.001    1.211    0.001 BSDE.py:760(generate_correlated_paths)
     1000    0.018    0.000    0.018    0.000 {method 'astype' of 'numpy.ndarray' objects}
      726   59.234    0.082   59.234    0.082 {method 'tolist' of 'numpy.ndarray' objects}
      568    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
      567    0.001    0.000    0.002    0.000 base.py:887(isspmatrix)
      504    0.001    0.000    0.001    0.000 base.py:99(get_shape)
      385    0.003    0.000    0.003    0.000 numeric.py:476(asanyarray)
      378    0.012    0.000    0.012    0.000 getlimits.py:245(__init__)
      378    0.002    0.000    0.002    0.000 validation.py:155(<genexpr>)
      363    0.019    0.000    8.715    0.024 copy.py:137(deepcopy)
      363    0.011    0.000    0.013    0.000 copy.py:253(_keep_alive)
      363    8.679    0.024    8.679    0.024 {method '__deepcopy__' of 'numpy.ndarray' objects}
      315    0.001    0.000    0.001    0.000 csr.py:212(_swap)
      315    0.002    0.000    0.002    0.000 getlimits.py:270(max)
      252    0.002    0.000    0.002    0.000 compressed.py:90(getnnz)
      252    0.014    0.000    0.557    0.002 sputils.py:125(get_index_dtype)
      246    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      189    0.002    0.000    0.753    0.004 {method 'min' of 'numpy.ndarray' objects}
      189    0.002    0.000    0.770    0.004 _methods.py:25(_amax)
      189    0.002    0.000    0.751    0.004 _methods.py:28(_amin)
      189    0.002    0.000    0.771    0.004 {method 'max' of 'numpy.ndarray' objects}
      189    0.005    0.000    0.005    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      138    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
      126    0.878    0.007    0.878    0.007 {method 'copy' of 'numpy.ndarray' objects}
      126    0.003    0.000    0.005    0.000 shape_base.py:61(atleast_2d)
      126    0.004    0.000    0.004    0.000 base.py:69(__init__)
      126    0.003    0.000    0.007    0.000 validation.py:128(_shape_repr)
