,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,3000
1,,m_discretization,,,,8
2,,N_run,,,,20
3,,n_picard,,,,3
0,,,run 1,,128.515,3.2461173110217096
1,,,run 2,,133.439,3.481409439657039
2,,,run 3,,132.858,3.3915029639887453
3,,,run 4,,120.424,3.347386483776279
4,,,run 5,,120.07,3.4254671748227126
5,,,run 6,,126.339,3.408231107562733
6,,,run 7,,121.486,3.454233996551331
7,,,run 8,,124.73,3.5034410142147587
8,,,run 9,,126.404,3.4040161821361763
9,,,run 10,,135.517,3.423578482900663
10,,,run 11,,131.616,3.4500595402412997
11,,,run 12,,119.63,3.369371194831103
12,,,run 13,,118.408,3.413126220049866
13,,,run 14,,122.315,3.498543596564164
14,,,run 15,,120.093,3.5202989109529073
15,,,run 16,,119.922,3.5529366097024946
16,,,run 17,,123.834,3.5036174522799155
17,,,run 18,,122.624,3.338952261040434
18,,,run 19,,128.726,3.5282370783707684
19,,,run 20,,129.729,3.451649078907959
0,,,,mean,,3.4356
1,,,,std,,0.0752
2,,,,95% confidence interval,,"[3.4282, 3.443]"
3,,,,min,,3.2461
4,,,,max,,3.5529
