,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000
1,,m_discretization,,,,6
2,,N_run,,,,20
3,,n_picard,,,,3
4,,Number of trees,,,,200
5,,Max Leaf nodes,,,,1000
0,,,run 1,,323.392,3.435484216183879
1,,,run 2,,325.656,3.4332491859002574
2,,,run 3,,315.613,3.5245058881303937
3,,,run 4,,320.123,3.461503677509741
4,,,run 5,,311.015,3.4135400703130316
5,,,run 6,,311.459,3.4451054129759693
6,,,run 7,,310.445,3.4464852787766853
7,,,run 8,,309.963,3.484710664638103
8,,,run 9,,310.03,3.4859200550155895
9,,,run 10,,308.56,3.46402558190334
10,,,run 11,,316.291,3.424757241346968
11,,,run 12,,310.123,3.4874838655936835
12,,,run 13,,310.45,3.475510548799488
13,,,run 14,,320.598,3.449704872472865
14,,,run 15,,317.613,3.4705202550806935
15,,,run 16,,316.985,3.5265982971336407
16,,,run 17,,310.779,3.490119668857181
17,,,run 18,,310.347,3.405440465139078
18,,,run 19,,309.322,3.5667630364657015
19,,,run 20,,307.833,3.5201493232335768
0,,,,mean,,3.4706
1,,,,std,,0.0416
2,,,,95% confidence interval,,"[3.4665, 3.4747]"
3,,,,min,,3.4054
4,,,,max,,3.5668
