,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,4000
1,,m_discretization,,,,12
2,,N_run,,,,20
3,,n_picard,,,,10
0,,,run 1,,145.818,7.103472878975659
1,,,run 2,,105.302,7.175963486704289
2,,,run 3,,106.049,7.233762646022272
3,,,run 4,,106.97,7.2781922638226035
4,,,run 5,,107.961,7.110384916156194
5,,,run 6,,101.414,7.1316665288887275
6,,,run 7,,93.997,7.073806610471655
7,,,run 8,,93.717,7.051189238597842
8,,,run 9,,93.922,7.449247709873939
9,,,run 10,,108.246,7.329370921799375
10,,,run 11,,112.47,7.222008517779227
11,,,run 12,,111.306,7.35993665566839
12,,,run 13,,139.193,7.149560877598985
13,,,run 14,,134.573,7.345110511042107
14,,,run 15,,112.411,7.090489890314732
15,,,run 16,,71735.497,6.90847383729418
16,,,run 17,,134.717,6.972728137993348
17,,,run 18,,104.778,7.348503668024488
18,,,run 19,,143.162,7.233941590555636
19,,,run 20,,93.988,7.181808714742521
0,,,,mean,,7.1875
1,,,,std,,0.1387
2,,,,95% confidence interval,,"[7.1739, 7.2011]"
3,,,,min,,6.9085
4,,,,max,,7.4492
