,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.05
2,R ,,,,,0.06
3,r ,,,,,0.01
4,sigma,,,,,0.2
5,T,,,,,0.25
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000
1,,m_discretization,,,,6
2,,N_run,,,,20
3,,n_picard,,,,3
4,,Number of trees,,,,200
5,,Max Leaf nodes,,,,700
0,,,run 1,,22.865,3.0366358400264484
1,,,run 2,,23.07,3.004244182214656
2,,,run 3,,23.39,2.936517080573785
3,,,run 4,,23.588,3.0124223015868763
4,,,run 5,,22.273,2.9132290826312777
5,,,run 6,,23.668,3.0029516103565017
6,,,run 7,,23.895,2.9418633416505204
7,,,run 8,,22.898,2.963284687370987
8,,,run 9,,21.985,3.001077545246129
9,,,run 10,,23.377,2.9121918702095058
10,,,run 11,,24.183,2.967553249882401
11,,,run 12,,23.993,2.889607123988249
12,,,run 13,,24.347,3.0092362009930245
13,,,run 14,,23.644,2.957303297831336
14,,,run 15,,23.192,2.9458446572015187
15,,,run 16,,22.635,2.9735765471757705
16,,,run 17,,24.097,2.9685250849271467
17,,,run 18,,23.3,2.911893553378123
18,,,run 19,,22.11,2.998616989694292
19,,,run 20,,23.19,3.042226235749293
0,,,,mean,,2.9694
1,,,,std,,0.0436
2,,,,95% confidence interval,,"[2.9651, 2.9737]"
3,,,,min,,2.8896
4,,,,max,,3.0422
