,100,1000,10000,50000
0,7.115,7.027,7.096,7.101
1,6.717,7.023,7.073,7.062
2,6.767,7.017,7.063,7.069
3,6.796,7.114,7.074,7.101
4,6.922,7.2,7.115,7.127
5,6.71,7.139,7.119,7.159
6,6.881,7.168,7.173,7.192
7,7.244,7.182,7.218,7.195
8,6.981,7.243,7.218,7.218
9,7.281,7.234,7.221,7.222
10,6.893,7.246,7.224,7.226
11,7.164,7.083,7.23,7.23
12,7.069,7.239,7.226,7.222
13,7.158,7.206,7.247,7.233
14,7.211,7.211,7.206,7.215
15,6.934,7.291,7.237,7.224
16,6.878,7.287,7.242,7.222
17,6.939,7.255,7.219,7.234
18,7.119,7.206,7.217,7.238
19,6.834,7.199,7.234,7.243
