,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,1000.0
1,,m_discretization,,,,12.0
2,,N_run,,,,20.0
3,,n_picard,,,,3.0
4,,degree,,,,5.0
5,,nearest neighbors,,,,100.0
6,,l,,,,1.0
0,,,run 1,,3.591,7.428653384110431
1,,,run 2,,4.751,7.042321826654244
2,,,run 3,,3.932,7.257010563968071
3,,,run 4,,3.618,6.917118798687595
4,,,run 5,,3.223,7.171610636831732
5,,,run 6,,4.307,7.090800489309645
6,,,run 7,,3.75,7.206036474007244
7,,,run 8,,3.97,6.952620542827222
8,,,run 9,,3.494,7.648404957562483
9,,,run 10,,4.907,6.741787516367247
10,,,run 11,,4.204,7.696553541567617
11,,,run 12,,4.136,6.818502177534587
12,,,run 13,,4.403,7.775232407140463
13,,,run 14,,4.081,6.78086682852944
14,,,run 15,,4.013,7.180213783107993
15,,,run 16,,3.572,7.485186613551681
16,,,run 17,,4.204,7.2587457638584345
17,,,run 18,,4.473,7.270984401577887
18,,,run 19,,3.673,6.8001493022278146
19,,,run 20,,3.942,7.03548784937503
0,,,,mean,,7.1779
1,,,,std,,0.3088
2,,,,95% confidence interval,,"[7.1476, 7.2082]"
3,,,,min,,6.7418
4,,,,max,,7.7752
