,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000
1,,m_discretization,,,,8
2,,N_run,,,,20
3,,n_picard,,,,5
4,,Number of trees,,,,200
5,,Max Leaf nodes,,,,700
0,,,run 1,,73.154,7.109062402161385
1,,,run 2,,66.677,7.134076300602142
2,,,run 3,,70.578,7.039549040631129
3,,,run 4,,69.783,7.078030447093724
4,,,run 5,,71.072,7.155088617299888
5,,,run 6,,73.914,7.198915852597808
6,,,run 7,,70.63,7.1861020645877405
7,,,run 8,,68.324,7.142770512439584
8,,,run 9,,69.122,7.292587249127092
9,,,run 10,,68.837,7.0557190448174225
10,,,run 11,,71.926,7.101356050187562
11,,,run 12,,71.467,7.117385366162022
12,,,run 13,,72.164,7.236575468867241
13,,,run 14,,74.261,7.2853499345620385
14,,,run 15,,72.516,7.0288321822539075
15,,,run 16,,70.946,7.095018219663969
16,,,run 17,,72.672,7.132952839027406
17,,,run 18,,71.48,7.086803612588616
18,,,run 19,,73.246,7.284957883570091
19,,,run 20,,72.045,7.073279489449674
0,,,,mean,,7.1417
1,,,,std,,0.0815
2,,,,95% confidence interval,,"[7.1337, 7.1497]"
3,,,,min,,7.0288
4,,,,max,,7.2926
