,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.06
2,R ,,,,,0.06
3,r ,,,,,0.04
4,sigma,,,,,0.2
5,T,,,,,0.5
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000
1,,m_discretization,,,,6
2,,dimension,,,,7
3,,N_run,,,,20
4,,n_picard,,,,3
5,,Number of trees,,,,200
6,,Max Leaf nodes,,,,1000
7,,Min_samples_leaf,,,,40
0,,,run 1,,70.68,3.289222198921153
1,,,run 2,,69.106,3.288841569382564
2,,,run 3,,68.011,3.2965071559199743
3,,,run 4,,69.219,3.2630655233019534
4,,,run 5,,66.066,3.3377932192719038
5,,,run 6,,69.095,3.32675959753663
6,,,run 7,,66.003,3.247199142746353
7,,,run 8,,73.68,3.3580618379623637
8,,,run 9,,66.659,3.327004284170942
9,,,run 10,,68.155,3.2543103719509068
10,,,run 11,,92.592,3.3182010343387973
11,,,run 12,,92.849,3.4149989867061836
12,,,run 13,,92.292,3.3893078231353866
13,,,run 14,,92.981,3.360116697310076
14,,,run 15,,93.622,3.2400051129764584
15,,,run 16,,92.786,3.3154481350692717
16,,,run 17,,93.945,3.336577985568742
17,,,run 18,,94.991,3.3050353727085375
18,,,run 19,,94.914,3.3019709472724306
19,,,run 20,,91.812,3.3005199296700978
0,,,,mean,,3.3135
1,,,,std,,0.0455
2,,,,95% confidence interval,,"[3.309, 3.318]"
3,,,,min,,3.24
4,,,,max,,3.415
