,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.05
2,R ,,,,,0.06
3,r ,,,,,0.01
4,sigma,,,,,0.2
5,T,,,,,0.25
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,10000.0
1,,m_discretization,,,,12.0
2,,N_run,,,,20.0
3,,n_picard,,,,3.0
4,,Number of trees,,,,100.0
5,,Learning rate,,,,0.1
6,,max_depth,,,,1.0
0,,,run 1,,9.444,2.9360691700800237
1,,,run 2,,9.467,2.912251320523898
2,,,run 3,,9.438,3.0263625742860207
3,,,run 4,,9.428,2.9389436866253718
4,,,run 5,,9.493,2.9845210660173853
5,,,run 6,,9.462,3.015979525531411
6,,,run 7,,9.549,2.994696014758335
7,,,run 8,,9.234,2.8860387180182836
8,,,run 9,,9.416,3.0543835683869363
9,,,run 10,,9.266,2.975151876266719
10,,,run 11,,9.636,2.9089614062757443
11,,,run 12,,9.524,3.006446060019907
12,,,run 13,,9.503,2.949758337931732
13,,,run 14,,9.812,2.9242845037896465
14,,,run 15,,9.722,2.9878729965787745
15,,,run 16,,9.869,2.948554200421806
16,,,run 17,,10.091,3.0489951875699703
17,,,run 18,,9.675,2.9736249917795248
18,,,run 19,,9.678,2.9511013794729037
19,,,run 20,,9.547,2.950083424076237
0,,,,mean,,2.9687
1,,,,std,,0.0465
2,,,,95% confidence interval,,"[2.9641, 2.9733]"
3,,,,min,,2.886
4,,,,max,,3.0544
