,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.05
2,R ,,,,,0.06
3,r ,,,,,0.01
4,sigma,,,,,0.2
5,T,,,,,0.25
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,100000
1,,m_discretization,,,,12
2,,N_run,,,,20
3,,n_picard,,,,10
4,,polynomial degree,,,,8
0,,,run 1,,9.025,2.924820622146144
1,,,run 2,,9.47,2.9189436923790195
2,,,run 3,,9.985,2.9380234371973937
3,,,run 4,,8.254,2.9293450806771255
4,,,run 5,,8.207,2.919338843211986
5,,,run 6,,10.01,2.94680319270994
6,,,run 7,,11.837,2.928259832916893
7,,,run 8,,7.916,2.925676623012363
8,,,run 9,,9.787,2.949577848474052
9,,,run 10,,10.704,2.93646865022763
10,,,run 11,,10.435,2.932812202454825
11,,,run 12,,9.304,2.9448573229930894
12,,,run 13,,9.759,2.9481230569835932
13,,,run 14,,10.739,2.978711665559135
14,,,run 15,,12.229,2.9285873316550095
15,,,run 16,,8.315,2.9386500941070013
16,,,run 17,,9.024,2.9578889758988542
17,,,run 18,,10.539,2.9507875305861435
18,,,run 19,,8.634,2.9158814326624
19,,,run 20,,9.352,2.9475939235628257
0,,,,mean,,2.9381
1,,,,std,,0.0154
2,,,,95% confidence interval,,"[2.9366, 2.9396]"
3,,,,min,,2.9159
4,,,,max,,2.9787
