,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.0
1,mu,,,,,0.05
2,R ,,,,,0.06
3,r ,,,,,0.01
4,sigma,,,,,0.2
5,T,,,,,0.25
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,1000.0
1,,m_discretization,,,,6.0
2,,N_run,,,,10.0
3,,n_picard,,,,3.0
4,,degree,,,,5.0
5,,nearest neighbors,,,,100.0
6,,l,,,,1.0
0,,,run 1,,2.238,2.922167914591819
1,,,run 2,,3.686,2.963236776221898
2,,,run 3,,2.107,2.8974689112789602
3,,,run 4,,2.358,3.283246734145794
4,,,run 5,,2.233,2.8089293934101405
5,,,run 6,,3.118,2.9335035713890423
6,,,run 7,,2.323,3.0002347241123783
7,,,run 8,,2.42,2.8499007467614716
8,,,run 9,,2.418,2.990868024401671
9,,,run 10,,3.487,2.7534189195400556
0,,,,mean,,2.9403
1,,,,std,,0.1441
2,,,,95% confidence interval,,"[2.9121, 2.9685]"
3,,,,min,,2.7534
4,,,,max,,3.2832
