,Parameters,Specific Parameters,run,stat parameter,time,values
0,q,,,,,0.1
1,mu,,,,,0.05
2,R ,,,,,0.05
3,r ,,,,,0.05
4,sigma,,,,,0.2
5,T,,,,,3.0
6,K,,,,,100.0
7,S0,,,,,100.0
0,,N_particles,,,,1000.0
1,,m_discretization,,,,8.0
2,,N_run,,,,20.0
3,,n_picard,,,,3.0
4,,nearest neighbors,,,,100.0
5,,l,,,,1.0
0,,,run 1,,14.442,22.9235
1,,,run 2,,14.27,23.9169
2,,,run 3,,15.12,22.686
3,,,run 4,,14.554,22.0876
4,,,run 5,,14.548,22.3241
5,,,run 6,,14.799,22.1761
6,,,run 7,,15.122,23.5818
7,,,run 8,,14.583,23.1706
8,,,run 9,,14.252,23.3483
9,,,run 10,,14.363,23.0022
10,,,run 11,,15.261,22.7786
11,,,run 12,,14.626,22.4297
12,,,run 13,,14.709,23.1356
13,,,run 14,,14.769,22.7467
14,,,run 15,,14.847,23.8885
15,,,run 16,,14.42,21.6846
16,,,run 17,,14.776,23.2741
17,,,run 18,,14.67,23.5312
18,,,run 19,,14.662,21.6485
19,,,run 20,,14.619,23.9269
0,,,,mean,,22.9131
1,,,,std,,0.6985
2,,,,95% confidence interval,,"[22.8446, 22.9816]"
3,,,,min,,21.6485
4,,,,max,,23.9269
