,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10
max_leaf_nodes = 50,7.2335,6.9957,7.1447,7.2455,7.3545,6.9703,7.3776,7.1871,7.2942,7.2261
max_leaf_nodes = 100,7.266,7.085,7.0801,7.2638,7.2713,7.2112,7.1262,7.2811,7.1605,7.1499
max_leaf_nodes = 150,7.3051,7.338,6.9833,7.379,7.1251,7.2276,7.1376,7.1604,7.1757,7.2547
max_leaf_nodes = 200,7.0868,7.0235,7.2233,7.0058,7.1159,7.1093,7.1519,7.1514,7.1296,7.1875
max_leaf_nodes = 250,7.1972,7.0845,7.1666,6.9521,7.3134,7.3685,7.1134,7.325,7.204,7.3637
max_leaf_nodes = 300,7.324,7.1642,7.2098,6.8236,7.0755,7.0625,7.0985,7.0808,7.0356,7.2119
max_leaf_nodes = 350,7.2653,7.1394,7.2312,7.1504,7.145,7.0896,7.3799,7.0873,7.2932,7.0169
max_leaf_nodes = 400,7.2845,7.0339,7.05,7.0582,7.1673,6.9867,7.3079,7.255,7.092,7.2258
max_leaf_nodes = 450,7.128,7.1871,7.0313,7.01,7.0399,7.0328,7.2161,7.1193,7.0743,7.0711
max_leaf_nodes = 500,7.0859,7.2324,6.9763,6.8944,7.0062,7.0837,7.0591,7.0442,7.1912,7.1179
max_leaf_nodes = 550,7.2475,7.1164,6.9599,6.971,7.0023,7.1118,6.9553,7.2193,7.3244,7.263
max_leaf_nodes = 600,6.8096,7.1014,7.1548,6.9767,7.0469,7.247,7.1756,7.0975,6.9485,7.1516
max_leaf_nodes = 650,7.1803,7.1586,7.0215,7.0269,7.0836,7.1314,7.1794,6.9789,7.0069,7.0959
max_leaf_nodes = 700,7.1214,7.1881,7.1991,7.1813,6.9584,7.1178,6.922,6.9257,7.2182,7.0272
max_leaf_nodes = 750,6.9335,7.1454,7.2286,7.0659,7.2867,7.0643,7.1608,6.8749,7.2001,7.1706
max_leaf_nodes = 800,7.1472,7.004,7.0267,7.1348,7.0763,7.1377,7.0447,6.9753,7.1662,7.2498
max_leaf_nodes = 850,6.9695,7.0583,7.2554,7.1987,6.9871,7.2005,6.9394,7.0949,6.9817,7.0627
max_leaf_nodes = 900,7.0917,7.2085,7.1462,7.0284,7.0112,6.9243,7.0498,6.8275,7.0984,7.1866
max_leaf_nodes = 950,7.0307,7.0888,7.1711,6.9718,7.0595,7.2249,7.2766,7.1105,6.9702,7.3251
max_leaf_nodes = 1000,7.2332,7.2107,7.2109,7.1915,7.3031,7.1751,7.0265,7.1196,6.912,7.1424
max_leaf_nodes = 1050,6.9706,7.0951,7.015,7.1578,6.9523,7.0913,7.1587,7.1072,7.175,7.2247
max_leaf_nodes = 1100,7.3069,6.9653,7.073,7.0878,7.2103,7.2889,7.067,7.1858,7.01,7.2118
max_leaf_nodes = 1150,7.1673,7.1233,6.9464,7.0328,6.9645,6.9666,7.08,7.1315,7.143,7.0601
max_leaf_nodes = 1200,7.1471,7.1774,6.9463,7.2185,7.2841,7.2176,7.2375,7.1071,6.9741,7.0669
max_leaf_nodes = 1250,6.9914,7.1335,7.1011,7.0592,7.2519,7.3173,7.07,7.1099,7.2759,7.1693
max_leaf_nodes = 1300,6.9605,7.0328,7.1368,7.0436,7.118,7.0891,7.1464,7.0977,7.0739,7.0771
max_leaf_nodes = 1350,7.0092,7.0376,7.0442,7.1707,7.1845,7.138,7.3193,7.197,7.023,7.0096
max_leaf_nodes = 1400,7.0318,7.0062,7.1268,7.1286,7.0213,7.1705,7.1425,7.0789,7.1951,7.0783
max_leaf_nodes = 1450,6.952,7.0487,7.0412,6.9787,7.0423,7.1704,7.065,7.0317,7.0759,7.2741
max_leaf_nodes = 1500,6.9167,7.1537,7.0589,6.9612,7.1799,7.0038,7.3566,7.0954,7.1454,6.9622
max_leaf_nodes = 1550,7.093,7.1663,6.9815,7.2092,7.1391,6.9875,7.2617,7.0028,7.1331,7.0348
max_leaf_nodes = 1600,7.109,7.3695,7.0896,7.0715,7.0343,7.2241,6.999,7.0622,7.0725,7.2253
max_leaf_nodes = 1650,7.0842,7.0052,7.1891,7.0764,7.2751,7.2683,7.127,7.0856,7.1837,6.9966
max_leaf_nodes = 1700,7.1406,7.0285,7.0474,7.1617,7.1525,7.1096,7.151,7.0627,7.0277,7.163
max_leaf_nodes = 1750,7.1778,7.147,7.1704,7.0059,7.1379,7.0631,7.0606,7.096,7.037,6.8116
max_leaf_nodes = 1800,6.997,7.1485,7.2349,7.0817,7.1448,6.775,7.0811,7.3867,7.0496,7.1458
max_leaf_nodes = 1850,7.0993,7.1402,7.1281,7.0771,7.0461,7.1708,7.3432,7.1197,7.2333,7.0743
max_leaf_nodes = 1900,7.1188,7.3142,7.0757,7.0456,7.1406,6.999,7.078,7.2846,6.9816,7.1045
max_leaf_nodes = 1950,7.0982,7.1473,7.1604,7.1294,7.1059,7.0687,7.1479,6.9404,7.0224,7.0858
max_leaf_nodes = 2000,7.0816,7.066,7.1143,7.0598,7.1754,7.0971,7.1007,7.2149,7.1102,7.2523
max_leaf_nodes = 2050,7.1616,7.2661,7.2733,6.9971,7.1474,7.1573,7.1363,7.0819,7.1285,6.9904
max_leaf_nodes = 2100,7.1562,6.999,7.2474,7.2206,7.1534,7.2601,7.0652,7.0908,7.1556,7.2255
max_leaf_nodes = 2150,7.1992,7.1186,7.171,7.2053,7.4129,7.0542,7.3756,7.0626,7.2615,7.2062
max_leaf_nodes = 2200,7.0675,7.146,7.3292,7.0579,7.1736,7.1997,6.9953,7.0854,7.1369,7.0199
