,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10,mean,std,95% confidence interval
max_leaf_nodes = 50,7.375,7.218,7.126,7.236,7.294,7.349,7.267,7.317,7.207,7.291,7.268,0.0700185689657,"[7.254,7.282 ]"
max_leaf_nodes = 100,7.104,7.087,7.222,7.172,7.211,7.207,7.172,7.329,7.153,7.181,7.1838,0.0638698676999,"[7.171,7.196 ]"
max_leaf_nodes = 150,7.108,7.211,7.278,7.109,7.326,6.889,7.124,7.092,7.172,7.167,7.1476,0.112872671626,"[7.125,7.17 ]"
max_leaf_nodes = 200,7.254,7.223,7.183,7.176,7.162,7.265,7.198,7.231,7.145,7.256,7.2093,0.0402990074319,"[7.201,7.217 ]"
max_leaf_nodes = 250,7.259,7.154,7.045,7.369,7.114,7.372,7.28,7.269,7.175,7.182,7.2219,0.101230874737,"[7.202,7.242 ]"
max_leaf_nodes = 300,7.239,7.194,7.088,7.017,7.128,7.157,7.401,7.065,6.98,7.302,7.1571,0.123955193518,"[7.133,7.181 ]"
max_leaf_nodes = 350,7.347,7.185,7.152,7.241,7.227,7.246,7.201,7.058,7.341,7.307,7.2305,0.0841763030787,"[7.214,7.247 ]"
max_leaf_nodes = 400,7.22,7.089,7.26,7.054,7.111,7.158,7.076,7.149,7.196,7.193,7.1506,0.0640003124992,"[7.138,7.163 ]"
max_leaf_nodes = 450,7.232,7.0,7.094,7.226,7.173,7.184,7.353,7.16,7.183,7.116,7.1721,0.0885950901574,"[7.155,7.189 ]"
max_leaf_nodes = 500,7.068,7.231,7.223,7.124,7.103,7.251,7.27,7.15,7.212,6.997,7.1629,0.0846692978594,"[7.146,7.179 ]"
max_leaf_nodes = 550,6.96,7.224,7.203,7.094,7.044,7.282,7.117,7.168,7.178,7.124,7.1394,0.0882781966286,"[7.122,7.157 ]"
max_leaf_nodes = 600,7.102,7.097,7.256,7.28,7.219,7.163,7.133,7.094,7.258,7.041,7.1643,0.0794380891009,"[7.149,7.18 ]"
max_leaf_nodes = 650,7.371,7.195,7.201,7.192,7.099,6.932,7.131,7.271,7.022,7.124,7.1538,0.11716381694,"[7.131,7.177 ]"
max_leaf_nodes = 700,7.128,7.188,6.957,7.142,7.2,7.222,7.115,7.288,7.105,7.282,7.1627,0.092211767145,"[7.145,7.181 ]"
max_leaf_nodes = 750,7.217,7.207,6.998,7.019,7.119,7.124,7.228,7.237,7.101,7.16,7.141,0.0806126540935,"[7.125,7.157 ]"
max_leaf_nodes = 800,7.139,7.14,7.244,7.053,7.182,7.093,7.16,7.374,7.156,7.201,7.1742,0.0835437609879,"[7.158,7.191 ]"
max_leaf_nodes = 850,7.216,7.088,7.008,7.172,7.175,7.116,7.264,6.946,7.112,7.211,7.1308,0.0931233590459,"[7.113,7.149 ]"
max_leaf_nodes = 900,7.152,7.076,7.153,7.254,7.285,7.095,7.172,7.104,7.223,7.047,7.1561,0.0746464332705,"[7.141,7.171 ]"
max_leaf_nodes = 950,7.274,7.194,7.057,7.05,7.11,6.918,7.179,7.061,7.059,7.156,7.1058,0.0943014315904,"[7.087,7.124 ]"
max_leaf_nodes = 1000,7.169,7.041,7.313,7.116,7.178,7.213,7.136,7.193,7.209,7.098,7.1666,0.0708480063234,"[7.153,7.18 ]"
max_leaf_nodes = 1050,7.043,7.072,7.222,7.12,7.08,7.207,7.34,7.295,7.183,7.327,7.1889,0.103042175831,"[7.169,7.209 ]"
max_leaf_nodes = 1100,7.301,7.272,7.213,7.057,7.208,7.25,7.193,7.366,7.233,7.133,7.2226,0.0816347965025,"[7.207,7.239 ]"
max_leaf_nodes = 1150,7.432,7.229,7.163,7.039,7.127,7.071,7.267,7.038,7.178,7.251,7.1795,0.115559724818,"[7.157,7.202 ]"
max_leaf_nodes = 1200,7.091,7.27,7.273,7.325,7.282,7.138,7.378,7.206,7.243,7.23,7.2436,0.079851361917,"[7.228,7.259 ]"
max_leaf_nodes = 1250,6.997,7.26,7.122,7.082,7.188,7.113,7.219,7.263,7.41,6.973,7.1627,0.125927002664,"[7.138,7.187 ]"
max_leaf_nodes = 1300,7.185,7.358,7.136,7.158,7.338,7.216,7.354,7.26,7.221,7.219,7.2445,0.0765927542265,"[7.229,7.26 ]"
max_leaf_nodes = 1350,7.205,7.205,7.168,7.271,7.237,7.065,7.03,7.446,7.129,7.165,7.1921,0.109893994376,"[7.171,7.214 ]"
max_leaf_nodes = 1400,7.099,7.209,7.243,7.383,7.235,7.161,7.17,7.211,7.193,7.177,7.2081,0.0702202962113,"[7.194,7.222 ]"
max_leaf_nodes = 1450,7.213,7.226,7.142,7.265,7.099,7.126,7.162,7.08,7.415,7.18,7.1908,0.0925924402962,"[7.173,7.209 ]"
