,,stat parameter,values,time
GradBoost,,mean,3.6126,107.8s
GradBoost,,std,0.0403,
GradBoost,,95% confidence interval,"[3.6087, 3.6165]",
GradBoost,,min,3.5353,
GradBoost,,max,3.6843,
RF,,mean,3.4706,313.8s
RF,,std,0.0416,
RF,,95% confidence interval,"[3.4665, 3.4747]",
RF,,min,3.4054,
RF,,max,3.5668,
derivative,,mean,3.3306,43.024s
derivative,,std,0.1796,
derivative,,95% confidence interval,"[3.2602, 3.401]",
derivative,,min,3.0466,
derivative,,max,3.5348,
mesh,,mean,3.4356,
mesh,,std,0.0752,
mesh,,95% confidence interval,"[3.4282, 3.443]",
mesh,,min,3.2461,
mesh,,max,3.5529,
,Parameters,values,,
0,q,0,,
1,mu,0.06,,
2,R ,0.06,,
3,r ,0.04,,
4,sigma,0.2,,
5,T,0.5,,
6,K,100,,
7,S0,100,,
